path,sentence,15_/checkpoint-13600,classla/wav2vec2-xls-r-sabor-hr
/home/peterr/macocu/task6_speech/data/00018794.flac.wav,dakle što je cilj odnosno što je prava svrha ovog zakona ,dakle što je cilj odnosno što je prava svrha ovog zakona,dakle što je cilj odnosno što je prava svrha ovog zakona
/home/peterr/macocu/task6_speech/data/00018795a.flac.wav,cilj je određenom metodologijom razviti infrastrukturu,cil je određenom metodologijom razvij infrastruktur,cil je odredeno metodologijom razvit inrastrukturu
/home/peterr/macocu/task6_speech/data/00018795b.flac.wav,infrastrukturu potrebno da bi se uopće kroz korištenje razno raznih poticajnih mjera,infrastrukturu potrebno da bi se uopće kroz korištenje raznoraznih poticajnih mjera,inrastrukturu potrebno da bi se uopće kroz korištenje raznoraznih poticajinih mjera
/home/peterr/macocu/task6_speech/data/00018795c.flac.wav,na tržište erha stavilo vozila u izvjesnoj količini a koja onda ne bi bila limitirana,na tržište erha stavilo vozila u izvjesnoj količini a koja onda ne bi bila limitirana,na tržište erha stavilo vozila u izvisnoj količini a koja onda ne bi bila limitirana
/home/peterr/macocu/task6_speech/data/00018795d.flac.wav,radijusom kretanja i nekim drugim limitima već bi kroz predmetnu infrastrukturu,radio samkretanja i nekim drugim limitima već bi kroz predmetnu infrastrukturu,radiu sam kretanja i nekim drugim limitima većbi kroz predmetnu inrastrukturu
/home/peterr/macocu/task6_speech/data/00018795e.flac.wav,im se omogućilo normalno korištenje i prometovanje hrvatskim prometnicama,i m se omogućilo normalno korištenje i prometovanje hrvatskim prometnicima,im se omogućilo normalno kurištenje i prometovanje hrvatskim promjetnicima
/home/peterr/macocu/task6_speech/data/00018796a.flac.wav,tako onoga trenutka kada razvojem infrastrukture stvorimo mogućnost za tržišne uvjete odnosno razvij tržišta takvim,tako onoga trenutka kada razvojem infrastrukture stvorimo mogućnost za tržištne uvjete odnosno razvoj tržiišta takvim,itako onoga trenutka kada razvojem inrastrukture stvorimo mogućnost za tržištne uvjete odnosno razvoj tržišta takvim
/home/peterr/macocu/task6_speech/data/00018796b.flac.wav,energentima dogoditi će se jedna sinergija i u tom trenutku nećemo zahtijevati ili trebati poticajne mjere iz državnog proračuna temeljem kojih će se nabavljati takva vozila već će i cjenovno a i nekih drugih,energentima dogoditi će se jedna sinergija i u tom trenutku nećemo zahtijevati ili trebat poticajne mjere iz državnog proračuna temeljem kojih će se nabavljati takva vozila već će icijenovno a i nekih drugih,energentima dogodit će se jedna sinergija i u tom trenutku nećemo zahtijevati ili trebati poticajne mjere iz državnog proračuna temeljem kojih će se nabavljati takva vozila već ćje icijenovno a i nekih drugih
/home/peterr/macocu/task6_speech/data/00018796c.flac.wav,komparativnih prednosti takva vozila biti daleko pristupačnija hrvatskom građaninu,komparativnih prednosti takva vozila biti daleko pristupačnia hrvatskom građanim,komparativnih prednosti takva vozila biti daleko pristupačnija hrvatskom gradanima
/home/peterr/macocu/task6_speech/data/00018797.flac.wav,dakle o čemu mi ustvari govorimo odnosno na koja osnovna pitanja zakon odgovara ,dakle o čemu mi ustvari govorimo odnosno na koja osnovna pitanja zakon odgovara,dakle o čemu mi u stvari govorimo odnosno na koja osnovna pitanja zakon odgovara
/home/peterr/macocu/task6_speech/data/00018798a.flac.wav,dakle zakonom se moraju utvrditi minimalni zahtjevi za izgradnju infrastrukture za alternativna goriva,dakle zakonom se moraju utvrditi minimalni zahtjevi za izgradnju i infrastrukture i za alternativna goriva,dakle zakonom se moraju utvrditi minimalni zaktjevi za izgradnju inrastrukture za alternativna goriva
/home/peterr/macocu/task6_speech/data/00018798b.flac.wav,uključujući i mjesta za punjenje električnih vozila i mjesta za opskrbu prirodnim plinom i vodikom,uključujućih mjesta zapunjenje električnih vozila i mjesta za opskrbu prirodnim plinom i vodikom,uključujući mjesta zapunjenje električnih vozila i mjesta za opskrbu prirodnim plinom i vodikom
/home/peterr/macocu/task6_speech/data/00018798c.flac.wav,kao i do sada postojeće tehničke specifikacije a dobro ste apostrofirali i tu se kolega zmajlović sa vama u potpunosti slažem,kao i do sada postojeće tehničke splecifikacije a dobro ste apostrofirali i tu se kolega zmajlović sa vama u potpunosti slažem,kao i do sada postojeće tehničke speciikacije a dobro ste apastroirali i tu se kolega zmajlovica vama u potpunosti slažem
/home/peterr/macocu/task6_speech/data/00018798d.flac.wav,nismo izmišljali toplu vodu već smo predmetne tehničke specifikacije koje su normala,nismo izmišljali to bluvodu već smo predmetne tehničke specifikacije koje su normala,nismo izmišljali toplu vodu već smo predmetne tehničke speciikacije koje su normale
/home/peterr/macocu/task6_speech/data/00018798e.flac.wav,u našem europskom okruženju jednostavno prenijeli u zakon i podzakonske akte,u našem europskom okruženju jednostavno prenijeli u zakon  podzakonsk i podzakonske akte,u našem europskom okruženju jednostavno prenijeli u zakon i podzakonskei podzakonske akte
/home/peterr/macocu/task6_speech/data/00018799a.flac.wav,ključni dokument koji nas tek očekuje i veliki dio posla koje resorno ministarstvo,ključni dokumenat koji nas tk očekuje i veliki dio posla koji resorno ministarstvo,ključni dokumenat koji nas teku očekuje i veliki dio posla koji resurno ministarstvo
/home/peterr/macocu/task6_speech/data/00018799b.flac.wav,i neke druge institucije tek moraju napraviti je nacionalni okvir politika,i neke druge institucije tek moraju napraviti je nacionalni okvir politika,i neke druge institucije tek moraju napraviti je nacionalni okvir politika
/home/peterr/macocu/task6_speech/data/00018800a.flac.wav,dakle opet jedno pravno okruženje unutar kojeg će se,dakle opet e jedno pravno ukruženje unutar kojig će se,dakle opet jedno pravno ukruženje unutar kojigći se
/home/peterr/macocu/task6_speech/data/00018800b.flac.wav,razvijati akcijski planovi dakle od procjene trenutačnog stanja i budućeg razvoja tržišta alternativnih goriva,razvijat akcijski planovi dakle od procjene trenutnčnog stanja i budućeg razvoja tržišta alternativnih goriva,razvijat akcijski planovi dakle od procijene trenutačnog stanja i buduće razvoja tržišta alternativnih goriva
/home/peterr/macocu/task6_speech/data/00018800c.flac.wav,nacionalnih pojedinačnih i skupnih ciljeva za postavljanje infrastrukture,nacionalnih pojedinačnih i skupnih ciljeva za postavljanje infrastrukture,nacionalni pojedinačnih i skupnih ciljeva zapostavljanje inrastrukture
/home/peterr/macocu/task6_speech/data/00018800d.flac.wav,potrebnih mjera za ostvarivanje nacionalnih pojedinačnih i skupnih ciljeva,potrebnih mjera za ostvarivanje nacionalnih pojedinačnih i skupnjih ciljeva,potrebnih mjera za ostvarivanje nacionalnih pojedinačnih i skupnih ciljeva
/home/peterr/macocu/task6_speech/data/00018800e.flac.wav,mjera kojima se može propisati postavljanje infrastrukture za alternativna goriva u sklopu usluga javnog prijevoza,mjera kojima se može promicati i postavljanja infrastrukture za alternativna goriva u sklopu usluga javnog prijevoza,mjera kojima se može promicati i postavljenja inrastrukture za alternativna goriva uklopu usluga javnog prijevoza
/home/peterr/macocu/task6_speech/data/00018801a.flac.wav,i opet napominjem negdje početkom godine dogodio se jedan veliki,i opet napominjem negdje početkom godine dogodio se jedan veliki,i opet napominjem negdje početkom godine dogodio se jedan veliki
/home/peterr/macocu/task6_speech/data/00018801b.flac.wav,radikalni zaokret već kod donošenja proračuna za dvije tisuće šesnaest godinu,radikalni zaokred već kod donošenja proračuna za dvije tisuće šesnaest godinu,radikalni zaokred već kod donošenja proračuna za dvije tisuće šesnaest godinu
/home/peterr/macocu/task6_speech/data/00018802.flac.wav,jedan veliki dio poticajnih mjera uključivo subvencioniranje kamata na poduzetničke kredite i one druge mjere ,jedan veliki dio poticajnih mjera uključivo subvencioniranje kamata na poduzetničke kredite i u ne druge mjere,jedan veliki dio poticajnih mjera uključivao subvencioniranje kamata na poduzetničke kredite ii une druge mjere
/home/peterr/macocu/task6_speech/data/00018803.flac.wav,jednostavno su izbačene isključene iz sufinanciranja iz državnog proračuna okrenuli smo se europskim fondovima ,jednostavno su izbačene isključene iz sufinanciranja iz državnog proračuna okrenuli smo se europskim fondovima,jednostavno su izbačine isključene iz suinanciranja iz državnog proračuna okrenuli smo se europskim ondovima
/home/peterr/macocu/task6_speech/data/00018804a.flac.wav,i ja bih rekao to je čak možda i jedno malo opravdanje zbog čega priljev tih sredstava,i ja bih rekao to je čak možda jedno malo opravdanje zbog čega prili tih sredstava,i ja bih rekao to je čak možda  jedno malo opravdanje zbog čega priliv tih sredstava
/home/peterr/macocu/task6_speech/data/00018804b.flac.wav,u ovom trenutku nije u onim mjesečnim tranšama kako je to,u ovom trenutku nije u onim mjesečnim tranšama kako je to,u ovom trenutku nije u onim mjesečnim tranšama kako je to
/home/peterr/macocu/task6_speech/data/00018804c.flac.wav,kroz određene natječaje i projicirano jer korespondencija sa komisijom i uz usuglašavanje,kroz određene natječajje i projicirano jer korispodencija sa komisijom i u suglšavanje,kroz odredene natječaje i proicirano jer korespodencija sa komisijom i usuglšavanje
/home/peterr/macocu/task6_speech/data/00018804d.flac.wav,natječajnih dokumenata sa komisijom ipak traje malo duže,natječanih dokumenata sa komisijom ipak ti pak traje malo duže,natječajnih dokumenata sa komisijom pktipak traje malo due
/home/peterr/macocu/task6_speech/data/00018805.flac.wav,još je jedna bitna zadaća koju zakon predstavlja pred ljude koji će se baviti izradom nopa ,toejedna bitna zadaća koju zakon predstavlja pre ljude koji će se baviti izradom noba,o jedna bitna zadaća koju zakon predstavlja pred ljude koji će se baviti izradom nopa
/home/peterr/macocu/task6_speech/data/00018806.flac.wav,dakle nacionalne politike a iz ove govornice isto tako je bilo apostrofirano da ne postoji međuresorna suradnja ove vlade ,dakle nacionalne politike a iz ove govornice je isto tako bilo apostrofirano da ne postoji među resorna suradnja ove vlade,dakle nacionalne politike a iz ove govornice  isto tako bilo apostroirano da ne postoji meduresurna suradnja ove vlade
/home/peterr/macocu/task6_speech/data/00018807.flac.wav,jednostavno u članku četiri obvezuju na međuresornu suradnju ,jednostavno u članku četir obvezuju na među resornu suradju,jednostavno u članku četiritom obvezuju na meduresrnu suradju
/home/peterr/macocu/task6_speech/data/00018808a.flac.wav,dakle pročitat ću samo jednu rečenicu dakle nop se usklađuje s aktima planiranja u području,dakle pročitati ću samo jednu rečenicu dakle nob se usklađuje sa aktima planiranja u području,dakle pročitati ću samo jednu rečenicu dakle nob se usklaćuje sa aktima planiranja u području
/home/peterr/macocu/task6_speech/data/00018808b.flac.wav,prometa energetike prostornog uređenja i zaštite okoliša,prometa energetike prostornog uređenja i zaštite okoliša,prometa energetike prostornog ureženja i zaštite okoliše
