path,sentence,15_/checkpoint-13600,classla/wav2vec2-xls-r-sabor-hr,16_/checkpoint-3600
/home/peterr/macocu/task6_speech/data/00020231.flac.wav,dakle njima smo omogućili tim zakonom pa recite istinu ,dakle njima smo omogućili tim zakonom pa resite istinu,dakle njima smo omogućili tim zakonom pa reciste istinu,dakle njima smo omogućili tim zakonom pa recite istinu
/home/peterr/macocu/task6_speech/data/00020232.flac.wav,omogućili smo im da dobijaju hrvatske mirovine iz hrvatskog fonda ,omogućili smo im da dobivaju hrvatske mirovine iz hrvatskoga,omogućili smo im da dobijajuu hrvatske mirovjine i pis hrvatskogara,omogućili smo im da dobijaju hrvatske mirovine iz hrvatskogaoa
/home/peterr/macocu/task6_speech/data/00020233.flac.wav,nemojte dobacivati nemojte biti nervozni boriću ,opacivati e nemojte biti nervozni borit ću,nopasivati je nemojte biti nervozni boriću,o obacivati nemojte biti nervozni boriću
/home/peterr/macocu/task6_speech/data/00020234.flac.wav,prema tome to smo napravili i na to smo ponosni ,prema tome to smo napravili i nato smo ponosli,prema tome to smo napravili i nato smo ponosni,prema tome to smo napravili i na to smo ponosni
/home/peterr/macocu/task6_speech/data/00020235.flac.wav,sljedeći zastupnik koji se javio za repliku je mladen karlić ,slijedeći zastupnik koji se javio za repliku je mladin karlić,sljedeći zastupnik koji se javio za repliku je mladen karlić,sljedeći zastupnik koji se javio za repliku je mladen karlić
/home/peterr/macocu/task6_speech/data/00020236a.flac.wav,ja sam slično htio replicirati kao što je i gospodin borić jer isto me je u više,ja sam slično htio repliciratikao što je gospodin borić jer isto ma jeu,dr ja sam slično htio replicirati kao štoo gospodin borić jer istome je uvien,dobro ja sam slično htio replicirati kao što i gospodin borić jer isto me je
/home/peterr/macocu/task6_speech/data/00020236b.flac.wav,navrata gospodin stazić je rekao da branitelji neće dobiti ni jedne kune,gospodin stazić je rekao da branitelji neće dobiti ni jedne kune ni jedane kune,rta ospodin stazić je rekao da branitelji neće dobiti nijedne kune ni jedne kune,nvrata gospodin stazić je rekao da branterji neće dobiti ni jedne kune ni jedne kune
/home/peterr/macocu/task6_speech/data/00020236c.flac.wav,gospodin mrsić je u više navrata došao do osamsto milijuna kuna ukupno znači povećanja troškova od devedeset šest sedam,gospodin mrsić je u više navrata došla o do osamsto milijuna kuna ukupno znači povećanja troško devedeset šest sedam,gospodin risić e više navrata došao e do osamsto milijunakuna ukupnog nai povećanja troškaod devedesetesedam,gospodin mrsić je u više navrata došao do osamsto milijuna kuna ukupnog znači povećanja troško devedeset šesti sedam
/home/peterr/macocu/task6_speech/data/00020237.flac.wav,prve godine pa četristo pa do osam milijuna dvije tisuće dvadeset ,godine pa četristo pa da osamsto dvije tisuće dvadeset,prven godine pa četristo pado osamsto dvije tisuće dvadeset,jrde godine pa četristo pado osams o dvije tisuće dvadeset
/home/peterr/macocu/task6_speech/data/00020238.flac.wav,ali mislim da se ne govori istina pa zbog toga samo sam htio ,ali mislim da se ne govori istina paro toga samostati,ali mislim da se ne govori istina prabog toga samosatio,ali mislim da se ne govori istina pa zbog toga samo sti
/home/peterr/macocu/task6_speech/data/00020239.flac.wav,odgovor na repliku zastupnik stazić ,odgovor na repliku zastupnik stazić,odgovor na repliku zastupnik staziću,odgovor na repliku zastupnik stazić
/home/peterr/macocu/task6_speech/data/00020240a.flac.wav,e pa sad još jedanput ako niste shvatili ne branitelji ili ne samo branitelji,e pa sada još jedanput ako niste shvatili ne branitelji ili ne samoobranitelji,e pa sad još jedanput ako niste skvatili ne branitelji ili ne samobranitelji,e pa sada još jedanput ako niste shvatili ne branitelji ili ne samobranitelji
/home/peterr/macocu/task6_speech/data/00020240b.flac.wav,nego i zastupnici hadezea s jednim danom rada u saboru i bivši članovi izvršnog vijeća sabora i djelatnici federacije u jugoslaviji i bivši članovi vlade,nego i zastupnici hadezea s jednim danom rada u saboru i i bivši članovi iznršnog vijeća sabora i djelatnici federacija u jugoslavi i biši članovi vlade,nego i zastupnici hadezea sjednim danom grada u saboru iiovaj bivši članovi izvršnog vijeća sabora i djeloatnici ederaciju  jugoslavi i bivi članovi vlade,nego i zastupnici hadezea s jednim danom rada uu saboru  bivši članovi izvršnog vijeća sabora i djelatnici federaciju u jugoslavi i bivši članovi vlade
/home/peterr/macocu/task6_speech/data/00020241.flac.wav,a što se tiče branitelja pa imali su veću mogućnost po sadašnjem zakonu ,a što se tiče branitelja pa imali su veću mogućnost po sadašnjem zakonm,ato se tiče branitelja pa imali su veću mogućnost po sadašnjem zakonu,pa što se tiče branitelja pa imali su veću mogućnost posadašnjem zakonu
/home/peterr/macocu/task6_speech/data/00020242.flac.wav,pa što vlada ne donese odluku pa im poveća mirovine pet posto ,pa što vlada ne donese odluku pa i poveća mirovine pet posto,pa što vlada ne donese odluku pa im povećaa mirovine pet posto,pa što vlada ne donese odluku pa im poveća mirovine pet posto
/home/peterr/macocu/task6_speech/data/00020243.flac.wav,pa to može po sadašnjem zakonu napraviti ,toe po sadašnjem zakonom napravite,ae osadašnjem zakonu napravit,pa ćže po sadašnjem zakonom napraviti
/home/peterr/macocu/task6_speech/data/00020244.flac.wav,zašto ih svoditi na sve ostale ,zašto jih svoditi na sve ostale,zašto ihs voditi na sve ostale,zašto ih svoditi na sve oslale
/home/peterr/macocu/task6_speech/data/00020245.flac.wav,ima u sadašnjem zakonu ima uporište za to ,prma u sadašnjim zakonomima uporišto za to,da u sadašnjim zakon ima uporišto za to,ima u sadašnjem zakonu ima uporište za to
/home/peterr/macocu/task6_speech/data/00020246.flac.wav,da vi hoćete pomoći braniteljima to biste vi i napravili ,da vi ih hoćete po moći braniteljima to biste vi napravili,da vi ih hoćete pomoći braniteljima to biste vi  napravili,da vi ih hoćete pomoći braniteljima to biste vi napravili
/home/peterr/macocu/task6_speech/data/00020247a.flac.wav,jako dobro došli dok su dizali šator dok su hodali ulicama dok su iznosili plinske,ite i jako dobro došli dok su dizali šator dok su hodali ulicama dok se iznosili,aa i jako dobro došli dok su dizali šatr dok su hodali ulicama dok su iznosiliplinsk,pranitelje jako dobro došli dok su dizali švator dok su hodali ulicama dok su iznosili
/home/peterr/macocu/task6_speech/data/00020247b.flac.wav,boce jer su htjeli srušiti vladu esdepea,jer su htjeli srušiti vladu esdepea,e ose jer su htjeli srušiti vladu esdepeae,boca jer su htjeli srušiti vladu esdepea eto
/home/peterr/macocu/task6_speech/data/00020248.flac.wav,sad vam više ne koriste ,sada vam više ne koriste,sad vam više ne koriste,sad vam više ne koriste
/home/peterr/macocu/task6_speech/data/00020249.flac.wav,ja se samo bojim da će đuro glogoški i klen kad čuju da hadezeovci danas nisu došli na sjednicu odbora za ratne veterane sutra pred hadezeom podići šator onaj ,ja se samo bojim da ćeo lugoški i kleem kada čuju da hadezeovci danas nisu došli na sjednicu odbora za ratne veterane sutra pred hadezeom podiišatoroli,ja  sama bojim da će durologoškij iklem kada čuju da hadezeovsi danas nisu došli na sjednicu odbor za ratnemeterane sutra pred hadezeom podiatorovv,ja se samo bojim da će đuroglogoškji i klemn kad čuju da hadezeovci danas nisu došli na sjednicu odbora za ratne veterane sutra pred hadezeom podić šataro
/home/peterr/macocu/task6_speech/data/00020250.flac.wav,otići u vukovar po njega i podići ga ispred hadezea ,totiče u vukovora po nega i podričega ispred hadezea,ttooie vukovra po njega i podijega ispred hadezea,što otići u vukovra po njega i podii ćega ispred hadezea
/home/peterr/macocu/task6_speech/data/00020251.flac.wav,ja se nadam da to glogoški i klen neće saznati kako se ponašaju zastupnici hadezea ,ja se nadam da to lugoški i kle neće saznati kako se ponašaju zastupnici hadezea,ja se nadam da to lugoški i klem neće sazvati kako se ponašaju zastupnici hadezea,ja se nadam da to lugoški i klem neće saznati kako se ponašaju zastupnici hadezea
/home/peterr/macocu/task6_speech/data/00020252.flac.wav,sljedeća zastupnica je marija jelkovac ,zastupnica je marija jelkovac,triea zastupnica emarija jelkovac,zastupnica je marija jelkovac
/home/peterr/macocu/task6_speech/data/00020253.flac.wav,hvala lijepo predsjedniče ,hvala lijepo predsjedniče,hvala lijepo predsjedniče,hvala lijepo predsjedniče
/home/peterr/macocu/task6_speech/data/00020254a.flac.wav,pa ja bih htjela ovako prije svega replicirati glasno,pa evo ja bi htjela ovako prije svega replicirati gla,paevo ja bih htjela ovako prije svega replicirati glas,pa evo ja bih htjela ovako prije svega replicirati glasn
